"UserID","TreeninguteArv"
"1","256"
"9","242"
"10","585"
"11","90"
"12","241"
"13","339"
"14","166"
"15","88"
"16","21"
"17","15"
"19","171"
"20","118"
"21","194"
"22","28"
"24","7"
"25","28"
"26","2"
"27","110"
"28","1"
"42","26"
"43","113"
"48","162"
"50","19"
"51","204"
"52","405"
"54","16"
"55","23"
"57","82"
"58","156"
"59","65"
"60","91"
"61","19"
"65","3"
"66","56"
"67","4"
"70","2"
"71","2"
"72","89"
"73","193"
"74","402"
"77","4"
"83","1"
"84","28"
"86","28"
"87","162"
"89","424"
"90","27"
"91","33"
"97","7"
"98","12"
"99","109"
"103","44"
"106","114"
"110","983"
"112","1"
"113","19"
"114","106"
"115","1"
"117","265"
"118","6"
"120","107"
"127","5"
"132","8"
"133","121"
"134","68"
"137","49"
"138","2"
"139","142"
"144","8"
"148","529"
"153","101"
"166","43"
"167","110"
"170","9"
"173","41"
"174","11"
"175","2"
"177","66"
"178","81"
"182","26"
"184","433"
"187","4"
"212","222"
"214","92"
"216","119"
"217","139"
"220","4"
"221","40"
"224","122"
"226","366"
"227","4"
"228","783"
"229","3"
"231","29"
"233","42"
"234","72"
"235","171"
"236","67"
"237","12"
"238","15"
"239","38"
"242","63"
"243","456"
"244","20"
"245","1"
"246","136"
"247","122"
"248","51"
"249","122"
"251","18"
"256","67"
"258","1"
"261","727"
"265","4"
"266","2"
"267","52"
"268","6"
"269","2"
"272","41"
"273","2"
"275","210"
"276","9"
"277","15"
"279","2079"
"281","28"
"284","17"
"289","20"
"291","119"
"292","175"
"294","181"
"296","134"
"298","184"
"300","233"
"302","134"
"304","2"
"305","113"
"306","36"
"310","12"
"311","9"
"315","259"
"316","643"
"318","15"
"319","37"
"320","140"
"321","34"
"323","27"
"324","15"
"326","612"
"327","254"
"328","20"
"329","184"
"330","1"
"331","26"
"333","289"
"334","22"
"335","35"
"336","19"
"337","47"
"338","6"
"340","12"
"343","18"
"344","126"
"345","2"
"346","258"
"347","30"
"348","6"
"349","6"
"352","339"
"354","1"
"355","24"
"356","2"
"359","164"
"360","122"
"363","23"
"367","38"
"368","38"
"369","17"
"370","69"
"372","72"
"373","8"
"374","35"
"375","378"
"376","79"
"377","41"
"378","10"
"381","177"
"382","22"
"385","10"
"386","4"
"387","109"
"388","61"
"389","867"
"390","97"
"392","12"
"393","3"
"396","2"
"397","1"
"398","1"
"399","4"
"400","1"
"401","156"
"403","2"
"404","6"
"407","56"
"411","114"
"412","29"
"413","234"
"414","102"
"415","29"
"416","138"
"418","83"
"419","85"
"420","44"
"421","746"
"422","41"
"424","768"
"425","326"
"427","87"
"428","16"
