"UserID","VoistlusteArv"
"1","487"
"9","1575"
"10","886"
"11","369"
"12","525"
"13","862"
"14","960"
"15","1343"
"16","1"
"17","95"
"19","486"
"20","1217"
"21","1017"
"22","17"
"24","219"
"25","194"
"26","65"
"27","5"
"42","460"
"43","1011"
"48","1136"
"50","70"
"51","1080"
"52","1249"
"54","10"
"55","176"
"57","596"
"58","649"
"59","379"
"60","1307"
"61","100"
"65","77"
"66","4"
"67","2"
"70","41"
"71","2"
"72","142"
"73","791"
"74","560"
"77","19"
"84","942"
"86","128"
"87","200"
"89","2441"
"90","438"
"91","281"
"97","89"
"98","3"
"99","178"
"103","633"
"106","486"
"110","61"
"113","152"
"114","331"
"115","1"
"117","1217"
"118","9"
"120","658"
"127","2"
"132","4"
"133","285"
"134","10"
"137","61"
"138","17"
"139","793"
"144","57"
"148","197"
"153","341"
"166","32"
"167","80"
"170","95"
"173","28"
"174","105"
"175","2"
"177","387"
"178","209"
"182","378"
"184","804"
"212","88"
"214","16"
"216","314"
"217","339"
"220","32"
"221","30"
"224","229"
"226","14"
"227","4"
"228","1269"
"231","7"
"233","9"
"234","104"
"235","63"
"236","35"
"237","2"
"238","2"
"239","8"
"242","114"
"243","2304"
"244","5"
"245","1"
"246","13"
"247","762"
"248","313"
"249","13"
"251","2"
"256","17"
"258","1"
"261","599"
"265","4"
"266","29"
"267","15"
"268","247"
"269","12"
"272","171"
"275","587"
"279","480"
"281","5"
"284","6"
"289","14"
"290","1"
"291","333"
"292","167"
"293","6"
"294","638"
"296","1354"
"298","406"
"300","801"
"302","1361"
"304","1"
"305","6"
"306","18"
"310","4"
"311","1"
"315","393"
"316","1082"
"318","7"
"319","31"
"320","1053"
"321","21"
"322","16"
"323","146"
"325","18"
"326","16"
"327","324"
"328","212"
"329","50"
"330","1"
"331","30"
"333","54"
"334","7"
"335","10"
"336","1"
"340","209"
"344","182"
"345","1"
"346","467"
"347","50"
"348","15"
"349","3"
"350","1"
"352","3"
"354","2"
"355","95"
"356","2"
"359","58"
"360","198"
"363","1"
"368","422"
"369","5"
"370","168"
"372","382"
"373","11"
"374","108"
"375","826"
"376","224"
"377","146"
"378","9"
"381","11"
"382","13"
"386","340"
"387","960"
"388","602"
"389","1046"
"390","103"
"392","8"
"393","5"
"396","1"
"401","705"
"407","281"
"411","45"
"412","50"
"413","741"
"414","389"
"415","20"
"416","381"
"418","244"
"419","297"
"420","132"
"421","630"
"423","2"
"424","355"
"425","377"
"427","179"
"428","619"
"429","70"
"430","171"
"431","13"
"432","550"
"435","23"
"437","6"
"438","231"
"439","439"
"441","585"
"442","21"
"443","636"
"444","94"
"446","132"
"447","864"
"448","27"
"449","1916"
"450","36"
"454","49"
"456","50"
"457","76"
"459","60"
"460","38"
"461","139"
"462","353"
"463","27"
"464","7"
"465","29"
"468","30"
"470","2"
"472","93"
"473","1074"
"474","184"
"476","141"
"486","142"
"488","310"
"489","99"
"495","730"
"496","694"
"497","1459"
"501","285"
"505","1004"
"507","2"
"508","3"
"510","383"
"511","162"
"512","112"
"513","835"
"516","44"
"517","181"
"518","271"
"521","1249"
"522","467"
"523","7"
"524","401"
"527","107"
"529","16"
"532","200"
"535","116"
"540","397"
"541","301"
"543","29"
"546","659"
"547","360"
"550","176"
"558","88"
"560","17"
"561","106"
"562","164"
"564","211"
"565","116"
"571","176"
"572","12"
"577","4"
"582","694"
"585","52"
"587","92"
"588","51"
"590","8"
"591","258"
"593","281"
"594","32"
"595","9"
"598","1822"
"599","2"
"600","628"
"601","9"
"604","88"
"606","451"
"607","77"
"608","151"
"609","1"
"610","328"
"611","58"
"619","606"
"621","86"
"622","79"
"623","40"
"626","2"
"627","10"
"628","434"
"629","322"
"630","235"
"631","8"
"632","403"
"633","159"
"634","218"
"635","11"
"636","73"
"637","1"
"639","102"
"640","5"
"641","1042"
"642","250"
"643","326"
"645","216"
"646","719"
"648","9"
"650","11"
"651","9"
"653","66"
"655","3"
"656","1086"
"657","408"
"658","278"
"659","50"
"660","31"
"662","11"
"663","2"
"664","2"
"666","3"
"667","129"
"668","1"
"669","5"
"670","2"
"671","316"
"674","157"
"675","2"
"676","2"
"677","8"
"678","100"
"679","2"
"681","126"
"682","121"
"683","691"
"684","56"
"686","94"
"688","8"
"689","7"
"690","39"
"691","61"
"697","13"
"698","127"
"700","139"
"701","393"
"702","3"
"703","11"
"704","3"
"705","3"
"707","193"
"708","33"
"709","3"
"710","192"
"711","108"
"713","4"
"714","7"
"715","2"
"716","179"
"717","44"
"718","6"
"719","11"
"720","20"
"721","42"
"722","867"
"723","6"
"724","122"
"725","556"
"726","130"
"727","7"
"728","273"
"731","4"
"732","10"
"733","336"
"735","26"
"737","120"
"738","1"
"739","17"
"740","9"
"741","1"
"742","2"
"743","141"
"744","38"
"746","22"
"747","203"
"749","111"
"750","412"
"753","888"
"754","552"
"755","38"
"756","51"
"757","12"
"758","7"
"759","6"
"760","9"
"762","506"
"767","440"
"768","403"
"769","387"
"771","321"
"773","59"
"774","10"
"775","555"
"783","53"
"785","1"
"786","591"
"787","32"
"788","1"
"790","6"
"792","403"
"793","120"
"794","36"
"797","3"
"798","2"
"800","101"
"801","25"
"802","14"
"803","24"
"804","19"
"808","47"
"809","15"
"844","1"
"845","14"
"853","326"
"854","26"
"855","367"
"856","84"
"867","408"
"895","3"
"896","42"
"897","2"
"898","205"
"903","54"
"904","14"
"905","45"
"906","11"
"907","67"
"908","555"
"910","8"
"911","41"
"912","102"
"913","16"
"914","1"
"915","432"
"916","41"
"917","2"
"918","46"
"920","27"
"921","642"
"922","669"
"923","537"
"924","8"
"925","47"
"926","108"
"927","38"
"929","3"
"930","129"
"931","69"
"932","46"
"933","37"
"935","10"
"936","569"
"938","35"
"939","86"
"940","1"
"941","231"
"942","18"
"943","21"
"944","209"
"945","512"
"946","36"
"947","102"
"948","8"
"949","35"
"951","70"
"952","252"
"954","36"
"956","7"
"957","31"
"958","19"
"959","6"
"960","31"
"961","20"
"962","34"
"964","574"
"965","322"
"966","748"
"967","747"
"968","16"
"969","212"
"971","33"
"972","7"
"973","134"
"975","2"
"976","15"
"979","38"
"980","460"
"981","1240"
"983","8"
"984","13"
"985","694"
"986","714"
"987","659"
"988","14"
"989","779"
"990","6"
"1000","1"
"1007","1"
"1008","6"
"1009","5"
"1013","4"
"1014","334"
"1015","7"
"1016","16"
"1019","14"
"1020","20"
"1022","267"
"1023","9"
"1024","681"
"1026","21"
"1027","16"
"1028","410"
"1029","58"
"1030","2"
"1032","441"
"1033","1"
"1034","21"
"1035","725"
"1036","1"
"1037","497"
"1038","1006"
"1039","62"
"1041","181"
"1044","7"
"1052","739"
"1053","314"
"1054","15"
"1055","94"
"1056","423"
"1057","41"
"1059","76"
"1061","1"
"1062","3"
"1063","1"
"1064","3"
"1065","193"
"1068","59"
"1069","16"
"1070","9"
"1071","8"
"1072","1"
"1075","327"
"1076","1"
"1077","6"
"1078","10"
"1079","436"
"1080","16"
"1081","260"
"1090","383"
"1092","324"
"1094","1"
"1095","1"
"1099","7"
"1100","32"
"1101","132"
"1102","2"
"1104","7"
"1105","47"
"1106","1"
"1107","1"
"1108","1"
"1109","7"
"1112","632"
"1115","57"
"1117","7"
"1119","83"
"1120","27"
"1121","13"
"1122","22"
"1133","5"
"1134","112"
"1138","27"
"1139","2"
"1140","2"
"1141","7"
"1142","4"
"1145","52"
"1147","75"
"1149","2"
"1150","2"
"1151","12"
"1152","219"
"1153","46"
"1154","185"
"1155","48"
"1162","1029"
"1163","579"
"1165","2"
"1166","580"
"1167","31"
"1168","1"
"1169","2"
"1170","11"
"1172","8"
"1173","118"
"1179","520"
"1180","15"
"1181","24"
"1182","717"
"1183","273"
"1199","285"
"1201","78"
"1202","7"
"1205","10"
"1206","1"
"1207","158"
"1208","6"
"1211","114"
"1212","27"
"1213","652"
"1214","1"
"1215","8"
"1216","5"
"1217","7"
"1218","598"
"1220","41"
"1221","406"
"1222","129"
"1223","1"
"1224","8"
"1228","3"
"1235","12"
"1270","1"
"1271","1"
"1272","4"
"1273","13"
"1274","620"
"1275","886"
"1276","160"
"1277","668"
"1278","149"
"1279","898"
"1280","4"
"1281","84"
"1283","173"
"1285","424"
"1286","165"
"1287","366"
"1290","122"
"1292","1"
"1293","17"
"1294","5"
"1295","12"
"1297","88"
"1298","63"
"1299","16"
"1300","1"
"1301","12"
"1302","12"
"1303","144"
"1305","535"
"1306","11"
"1307","7"
"1310","607"
"1311","10"
"1312","23"
"1313","210"
"1315","30"
"1318","854"
"1320","2"
"1324","19"
"1325","28"
"1326","87"
"1338","12"
"1340","1159"
"1344","1"
"1345","19"
"1346","157"
"1348","231"
"1349","438"
"1350","9"
"1351","2"
"1352","2"
"1353","1"
"1354","133"
"1355","14"
"1363","1"
"1365","1"
"1366","1"
"1368","15"
"1369","4"
"1370","4"
"1376","5"
"1397","12"
"1398","7"
"1399","55"
"1400","101"
"1411","437"
"1412","10"
